ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10225135,HY412217,9/5/2015 15:00,028XX W LAWRENCE AVE,520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,PARK PROPERTY,TRUE,TRUE,2031,20,40,4,04A,1156793,1931761,2015,2/10/2018 15:50,41.96852975,-87.69886098,"(41.968529752, -87.698860976)"
10225138,HY412224,9/6/2015 0:25,013XX W WINNEMAC AVE,560,ASSAULT,SIMPLE,APARTMENT,FALSE,FALSE,2033,20,46,3,08A,1166516,1933680,2015,9/17/2015 11:37,41.97359241,-87.66305481,"(41.973592405, -87.663054812)"
10225144,HY408983,9/3/2015 15:04,012XX W GARFIELD BLVD,930,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,STREET,FALSE,FALSE,713,7,16,67,7,1169127,1868181,2015,2/10/2018 15:50,41.79380204,-87.65535639,"(41.793802035, -87.65535639)"
10225160,HY412150,9/5/2015 16:45,063XX N HERMITAGE AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,2433,24,40,77,7,1163623,1941926,2015,2/10/2018 15:50,41.99628132,-87.67345944,"(41.996281323, -87.673459439)"
10225166,HY412142,9/5/2015 20:30,061XX N FAIRFIELD AVE,560,ASSAULT,SIMPLE,RESIDENCE,FALSE,TRUE,2413,24,50,2,08A,1156889,1940684,2015,2/10/2018 15:50,41.99301295,-87.69826473,"(41.993012947, -87.698264731)"
10225174,HY412251,9/6/2015 0:55,064XX S DR MARTIN LUTHER KING JR DR,560,ASSAULT,SIMPLE,APARTMENT,FALSE,TRUE,312,3,20,69,08A,1180025,1862479,2015,2/10/2018 15:50,41.77791241,-87.61556897,"(41.777912407, -87.615568965)"
10225178,HY412274,9/5/2015 21:50,070XX S VERNON AVE,560,ASSAULT,SIMPLE,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,322,3,6,69,08A,1180462,1858540,2015,2/10/2018 15:50,41.76709337,-87.61408769,"(41.767093374, -87.614087692)"
10225188,HY412261,9/5/2015 23:58,079XX S VERNON AVE,560,ASSAULT,SIMPLE,APARTMENT,TRUE,FALSE,624,6,6,44,08A,1180623,1852364,2015,2/10/2018 15:50,41.75014207,-87.61368694,"(41.750142073, -87.613686938)"
10225200,HY412162,9/5/2015 17:00,084XX S MORGAN ST,560,ASSAULT,SIMPLE,RESIDENCE,FALSE,TRUE,613,6,21,71,08A,1171118,1848904,2015,2/10/2018 15:50,41.74086025,-87.64861826,"(41.740860249, -87.64861826)"
10225213,HY412242,9/6/2015 0:50,070XX S RHODES AVE,560,ASSAULT,SIMPLE,SIDEWALK,FALSE,TRUE,322,3,6,69,08A,1181123,1858466,2015,2/10/2018 15:50,41.76687512,-87.61166715,"(41.766875117, -87.611667154)"
10225220,HY412097,9/5/2015 22:00,116XX S PEORIA ST,051A,ASSAULT,AGGRAVATED: HANDGUN,STREET,FALSE,FALSE,524,5,34,53,04A,1172416,1827481,2015,9/17/2015 11:37,41.68204393,-87.64449044,"(41.682043933, -87.644490437)"
10225239,HY412382,9/6/2015 2:00,008XX N LECLAIRE AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,1531,15,37,25,7,1142202,1905146,2015,2/10/2018 15:50,41.89577951,-87.7531742,"(41.895779509, -87.753174201)"
10225242,HY412363,9/6/2015 2:00,008XX N LECLAIRE AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,1531,15,37,25,7,1142202,1905133,2015,2/10/2018 15:50,41.89574384,-87.75317452,"(41.895743835, -87.753174524)"
12012127,JD189186,3/18/2020 2:03,039XX W JACKSON BLVD,910,MOTOR VEHICLE THEFT,AUTOMOBILE,APARTMENT,FALSE,TRUE,1132,11,28,26,7,1150196,1898398,2020,3/25/2020 15:47,41.87711019,-87.72398972,"(41.877110187, -87.723989719)"
10225249,HY412195,9/5/2015 23:35,033XX N LAMON AVE,560,ASSAULT,SIMPLE,SIDEWALK,FALSE,FALSE,1634,16,38,15,08A,1143117,1921600,2015,2/10/2018 15:50,41.94091398,-87.74940209,"(41.940913981, -87.749402086)"
10225256,HY412343,9/6/2015 2:40,027XX S DEARBORN ST,051A,ASSAULT,AGGRAVATED: HANDGUN,CHA HALLWAY/STAIRWELL/ELEVATOR,TRUE,FALSE,133,1,3,35,04A,1176315,1886573,2015,2/10/2018 15:50,41.84411271,-87.62844534,"(41.844112707, -87.628445336)"
10225280,HY412387,9/6/2015 3:15,016XX W 115TH ST,051A,ASSAULT,AGGRAVATED: HANDGUN,BAR OR TAVERN,FALSE,FALSE,2234,22,34,75,04A,1167266,1828441,2015,2/10/2018 15:50,41.68478979,-87.6633151,"(41.684789786, -87.6633151)"
10225281,HY412325,9/6/2015 2:23,083XX S PERRY AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,RESIDENCE,FALSE,TRUE,622,6,21,44,04A,1177060,1849717,2015,2/10/2018 15:50,41.74295942,-87.62682291,"(41.742959421, -87.62682291)"
10225285,HY412171,9/5/2015 23:20,018XX W FARWELL AVE,530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,RESIDENCE,TRUE,FALSE,2424,24,49,1,04A,1162801,1945648,2015,2/10/2018 15:50,42.00651193,-87.67637815,"(42.006511933, -87.676378151)"
10225286,HY412402,9/6/2015 3:30,118XX S YALE AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,522,5,34,53,7,1176741,1826376,2015,2/10/2018 15:50,41.67891566,-87.62869159,"(41.67891566, -87.628691588)"
10225287,HY406826,9/1/2015 11:30,077XX S RHODES AVE,930,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,RESIDENCE-GARAGE,FALSE,FALSE,624,6,6,69,7,1181245,1853836,2015,2/10/2018 15:50,41.7541671,-87.61136241,"(41.754167102, -87.611362411)"
10225294,HY412378,9/6/2015 3:50,014XX W LAKE ST,560,ASSAULT,SIMPLE,BAR OR TAVERN,TRUE,FALSE,1224,12,27,28,08A,1166633,1901539,2015,2/10/2018 15:50,41.88539325,-87.66354785,"(41.885393253, -87.663547848)"
10225306,HY412421,9/6/2015 4:52,014XX W CERMAK RD,051A,ASSAULT,AGGRAVATED: HANDGUN,STREET,FALSE,FALSE,1235,12,25,31,04A,1167209,1889523,2015,2/10/2018 15:50,41.85240801,-87.66177788,"(41.852408005, -87.661777875)"
10225310,HY412349,9/6/2015 1:45,0000X E CHESTNUT ST,560,ASSAULT,SIMPLE,HOTEL/MOTEL,FALSE,FALSE,1833,18,42,8,08A,1176408,1906333,2015,2/10/2018 15:50,41.89833327,-87.62750777,"(41.898333269, -87.62750777)"
10225320,HY412333,9/6/2015 2:17,018XX W HURON ST,550,ASSAULT,AGGRAVATED PO: HANDGUN,ALLEY,TRUE,FALSE,1221,12,1,24,04A,1163912,1904710,2015,2/10/2018 15:50,41.89415257,-87.67345029,"(41.89415257, -87.673450286)"
10225321,HY412442,9/6/2015 4:45,098XX S MERRILL AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,VEHICLE NON-COMMERCIAL,FALSE,FALSE,431,4,7,51,7,1192394,1840222,2015,2/10/2018 15:50,41.71654504,-87.57094755,"(41.716545037, -87.570947551)"
10225345,HY412468,9/5/2015 22:15,122XX S HARVARD AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,523,5,34,53,7,1176165,1823694,2015,2/10/2018 15:50,41.67156874,-87.63088,"(41.671568737, -87.630880001)"
